group,date,sender,username,keywords,link,text
Українці в Аліканте,2026-03-23 20:24,ivan,ivanpngn,испанского,https://t.me/uaalicante/46940,"🇪🇸 Индивидуальные онлайн-уроки испанского языка (A2–B1, B1–B2)  🚀 Уже знакомы с испанским и хотите подтянуть его? Я помогу вам!  📚 Уровень: от A2 до B1, и B1–B2 🕐 Индивидуальные занятия: 55 минут 📍 Онлайн — через Google Meet 💸 Стоимость: 10€ за урок 👥 Учимся один на один, в спокойной и дружеской атм"
Українці в Аліканте,2026-03-22 19:59,Valentyna Chirva,chirva2020,испанского,https://t.me/uaalicante/46840,"Вакансия:   КОНСТРУКТОР-ТЕХНОЛОГ КОРПУСНОЙ МЕБЕЛИ.  Мы — компания BUDDY KITCHENS, занимаемся производством и установкой корпусной мебели на заказ (в основном кухни).  В связи с ростом количества заказов ищем конструктора (дизайнера-технолога) для разработки технических проектов после продажи.  🔧 Обя"
Українці в Аліканте,2026-03-22 19:20,ivan,ivanpngn,испанского,https://t.me/uaalicante/46837,"🇪🇸 Индивидуальные онлайн-уроки испанского языка (A2–B1, B1–B2)  🚀 Уже знакомы с испанским и хотите подтянуть его, чтобы говорить свободно и уверенно? Я помогу вам!  📚 Уровень: от A2 до B1, и B1–B2 🕐 Индивидуальные занятия: 55 минут 📍 Онлайн — через Google Meet 💸 Стоимость: 10€ за урок 👥 Учимся один "
Українці в Аліканте,2026-03-21 20:09,ivan,ivanpngn,испанского,https://t.me/uaalicante/46747,"🇪🇸 Индивидуальные онлайн-уроки испанского языка (A2–B1, B1–B2)  🚀 Уже знакомы с испанским и хотите подтянуть его, чтобы говорить свободно и уверенно? Я помогу вам!  📚 Уровень: от A2 до B1, и B1–B2 🕐 Индивидуальные занятия: 55 минут 📍 Онлайн — через Google Meet 💸 Стоимость: 10€ за урок 👥 Учимся один "
Українці в Аліканте,2026-03-20 21:52,ivan,ivanpngn,испанского,https://t.me/uaalicante/46655,"🇪🇸 Индивидуальные онлайн-уроки испанского языка (A2–B1, B1–B2)  🚀 Уже знакомы с испанским и хотите подтянуть его, чтобы говорить свободно и уверенно? Я помогу вам!  📚 Уровень: от A2 до B1, и B1–B2 🕐 Индивидуальные занятия: 55 минут 📍 Онлайн — через Google Meet 💸 Стоимость: 10€ за урок 👥 Учимся один "
Українці в Аліканте,2026-03-19 13:17,Валерия шахматный тренер,chesscoachlera,учеников,https://t.me/uaalicante/46495,"Здравствуйте, меня зовут Валерия. Провожу онлайн занятия по шахматам с учениками любого возраста и подготовки ♟♟🥇 Немного о себе: первый разряд по шахматам, опыт работы больше трех лет.  Среди учеников есть учасники национальных соревнований. По всем подробностям, пишите личным сообщениям❗️❗️Я"
Українці в Аліканте,2026-03-19 09:49,ivan,ivanpngn,испанского,https://t.me/uaalicante/46473,"🇪🇸 Индивидуальные онлайн-уроки испанского языка (A2–B1, B1–B2)  🚀 Уже знакомы с испанским и хотите подтянуть его, чтобы говорить свободно и уверенно? Я помогу вам!  📚 Уровень: от A2 до B1, и B1–B2 🕐 Индивидуальные занятия: 55 минут 📍 Онлайн — через Google Meet 💸 Стоимость: 10€ за урок 👥 Учимся один "
Українці в Аліканте,2026-03-18 22:21,ivan,ivanpngn,испанского,https://t.me/uaalicante/46410,"🇪🇸 Индивидуальные онлайн-уроки испанского языка (A2–B1, B1–B2)  🚀 Уже знакомы с испанским и хотите подтянуть его, чтобы говорить свободно и уверенно? Я помогу вам!  📚 Уровень: от A2 до B1, и B1–B2 🕐 Индивидуальные занятия: 55 минут 📍 Онлайн — через Google Meet 💸 Стоимость: 10€ за урок 👥 Учимся один "
ИСПАНИЯ УСЛУГИ СЕРВИС 24,2026-03-25 11:00,Reklama Planner,ReklamaPlanbot,"репетитор, испанский",https://t.me/servicio24/112467,"Мастера провинции Аликанте  👇 Откройте приложение и напишите мастеру напрямую — это бесплатно.  SERVI — мобильное приложение, где уже более 200 специалистов по всей провинции Аликанте.  🔧 Электрик, косметолог, фотограф, стоматолог, трансфер, репетитор, груминг, хестор и другие услуги   💬 Без посредн"
ИСПАНИЯ УСЛУГИ СЕРВИС 24,2026-03-24 15:30,Иван S,VidaSpain,ИСПАНСКОГО,https://t.me/servicio24/112408,"🇪🇸 Уроки ИСПАНСКОГО (VALENCIANO и CASTELLANO) для ваших детей от 6 до 14 лет с НОСИТЕЛЕМ языка! 👋  🎯 Если у ваших детей есть сложности с усвоением школьной программы по Valenciano, то мы точно сможем решить данный вопрос! ✅  📚 Уроки проходят индивидуально! 👨‍🏫👧  💰 Стоимость 18€ в час.  📍 Территориал"
ИСПАНИЯ УСЛУГИ СЕРВИС 24,2026-03-24 07:07,Andrey,andreyporley,испанский,https://t.me/servicio24/112337,"Переводы и сопровождение в Валенсийском сообществе, Мурсии, другие регионы по согласованию. Возможны поездки. 🔹 Медицинские и технические переводы. Параллельный перевод. 🔹 Участие в переговорах и деловых встречах, подготовка материала. Административные органы, компании, заводы-производители. Любая с"
ИСПАНИЯ УСЛУГИ СЕРВИС 24,2026-03-23 12:00,Marina,Kristofer1012,"репетитор, испанский",https://t.me/servicio24/112265,"Коллеги, доброго! Ищу любую посильную работу 🙏    Готова помочь в разных сферах:   • помощь по дому   • помощь на кухне в кафе   • забирать и отводить детей из школы или детского сада   • помощь с уроками (на русском языке)   • репетиторство по математике до 9 класса (включая подготовку к ОГЭ)   • у"
ИСПАНИЯ УСЛУГИ СЕРВИС 24,2026-03-19 11:16,Иван S,VidaSpain,ИСПАНСКОГО,https://t.me/servicio24/111933,"🇪🇸 Уроки ИСПАНСКОГО (VALENCIANO и CASTELLANO) для ваших детей от 6 до 14 лет с НОСИТЕЛЕМ языка! 👋  🎯 Если у ваших детей есть сложности с усвоением школьной программы по Valenciano, то мы точно сможем решить данный вопрос! ✅  📚 Уроки проходят индивидуально! 👨‍🏫👧  💰 Стоимость 18€ в час.  📍 Территориал"
Чат / Аликанте / Alicante,2026-03-21 16:26,Vitalii,,"репетитор, испанский, испанского, преподаватель",https://t.me/es_ruso/71871,"есть как раз проверенный репетитор испанского языка - носитель языка и по стране берет раза в 2 дешевле остальных. Куча перепробовал разных уже, намучился. Думал испанский не моё. А оказалось дело в учителе было. С этим репетитором ты быстро начинаешь разговаривать. Уроки индивидуальные по цене груп"
Чат / Аликанте / Alicante,2026-03-21 11:29,Camila Rodríguez,CamilaRodriguezAlicante,испанский,https://t.me/es_ruso/71845,"Переводчик испанский-русский в Аликанте. Сопровождение в hospital, ayuntamiento, полиция, помощь с документами.”  🇪🇸 АЛИКАНТЕ | ПЕРЕВОДЧИК И СОПРОВОЖДЕНИЕ Помогу русскоязычным в Аликанте  🔹 Перевод испанский ↔ русский 🔹 Сопровождение в больницу, к врачу мэрию (Ayuntamiento), в полицию, в банк... 🔹 П"
Виза D Испания,2026-03-24 08:05,Alex Beck,AlexBeckk,испанский,https://t.me/visadesp/478088,Легализация - когда у вас есть  перевод документа на испанский и в консульстве этот перевод заверяют Есть присяжный перевод - когда переводчик(хурадо) - делает все. И переводит и заверяет
Виза D Испания,2026-03-22 18:44,Gosha Kochetkov,norimyxxxo2,испанского,https://t.me/visadesp/477932,не могли бы вы пожалуйста подсказать я сейчас хожу на языковые курсы испанского в Барселоне и получил по ним студенческую визу (гражданство у меня российское) а что будет если я перестану на них ходить (осталось ещё 2 месяца и каникулы на них взять я уже не могу) если я планирую в дальнейшем учиться
Виза D Испания,2026-03-21 16:58,Marina,Siempre_Es,испанского,https://t.me/visadesp/477756,"Друзья, времени осталось совсем мало!  Только до 31 марта 2026 года можно купить полис ADESLAS Completa по текущим условиям!!! Дальше цены будут ощутимо выше, а условия оформления, к сожалению - жёстче...  (Срок начала действия страховки возможно отложить до мая).  ADESLAS Completa - уникальная стра"
Виза D Испания,2026-03-20 09:08,Natalia Govorukhina,,испанский,https://t.me/visadesp/477591,Добрый день! Подскажите пожалуйста на первую подачу no lucrativa сейчас нужен только испанский счет или можно показать деньги на счету в Киргизии или Грузии?
Виза D Испания,2026-03-19 17:51,lexa k ⋆｡°,thinkaboutfrogs,"испанский, испанского, учеников",https://t.me/visadesp/477512,"Привет! Я админ этого чата, и я преподаю испанский 🤗  🇪🇦 Закончила университет в Андалусии по специальности ""Испанская филология"" на отлично, лингвистическую магистратуру в Мадриде (UCM, matrícula de honor), а сейчас получаю докторскую степень 🗓️ Преподаю уже больше 6 лет  🦸 С учениками при хорошей "
Виза D Испания,2026-03-19 17:47,Александра,sashenka2233,испанский,https://t.me/visadesp/477511,"Я просто уже боюсь третий раз подаваться на с . И подавалась через помогаторов , они вообще говорят , что нельзя показывать , что я резидент . Иначе откажут . Плюс надо кучу липы типа билетов на самолет , которым мы не полетим и отель . Хотя там я живу у мужа на съемной квартире . Но надо именно гос"
Виза D Испания,2026-03-19 12:24,Marina,Siempre_Es,испанского,https://t.me/visadesp/477455,"Друзья, времени осталось совсем мало!  Только до 31 марта 2026 года можно купить полис ADESLAS Completa по текущим условиям!!! Дальше цены будут ощутимо выше, а условия оформления, к сожалению - жёстче...  (Срок начала действия страховки возможно отложить до мая).  ADESLAS Completa - уникальная стра"
Виза D Испания,2026-03-19 11:45,Хелен,Elenita1969,испанского,https://t.me/visadesp/477440,"Моей подруге продлили на третий год курсы. Но она подала письмо из мэрии , что она волонтёр поотексьен сивиль  и ей нужно больше знаний испанского  для  службы"
Valencia Útil,2026-03-24 11:11,Anastasia Breslavskaya,a_breslavskaya,испанский,https://t.me/ValenciaUtil/14585,"Ты на уровне A2 в испанском 🇪🇸🇲🇽 и хочешь идти дальше?  Знаешь слова, грамматику, но говорить сложно.  Времена путаются, subjuntivo пугает, а носители говорят слишком быстро.  Мы открываем набор в группу A2 → B1 в онлайн-школе Pana Hispana.  🔸Занятия 1,5 часа с преподавателем, которая 12+ лет препод"
Valencia Útil,2026-03-23 18:00,Inna.,krilya_za_spinoy5,преподаватель,https://t.me/ValenciaUtil/14573,"🇬🇧Good evening. Преподаю английский взрослым. Профессиональный преподаватель, опыт 16 лет, общий / бизнес / специальный и какой угодно.  🔝Подготовка к работе, переговорам и собеседованиям.   Индивидуально, онлайн, стоимость от €17/ч. Если готовы начать заниматься в ближайшее время - пишите"
"Українці в Барселоні, Українці в Іспанії",2026-03-24 15:46,Edita Café Español Academy,,испанский,https://t.me/mibarcelona/40578,Встреча экспатов – практикуем испанский с нашими преподавателями! 📍 Smart Bar – Сант-Кугат (рядом со станцией S2 Volpelleres) 🗓 25 марта 💶 8€ – в стоимость входит напиток + закуски Подходит для всех уровней 🤍 ⚡ Мест ограничено! Для брони пишите в WhatsApp: 616750829
"Українці в Барселоні, Українці в Іспанії",2026-03-23 04:58,Vitaly,,"репетитор, испанский, испанского, преподаватель",https://t.me/mibarcelona/40511,"есть как раз проверенный репетитор испанского языка - носитель языка и по стране берет раза в 2 дешевле остальных. Куча перепробовал разных уже, намучился. Думал испанский не моё. А оказалось дело в учителе было. С этим репетитором ты быстро начинаешь разговаривать. Уроки индивидуальные по цене груп"
"Українці в Барселоні, Українці в Іспанії",2026-03-22 09:42,Vitalii,,"репетитор, испанский, испанского, преподаватель",https://t.me/mibarcelona/40306,"есть как раз проверенный репетитор испанского языка - носитель языка и по стране берет раза в 2 дешевле остальных. Куча перепробовал разных уже, намучился. Думал испанский не моё. А оказалось дело в учителе было. С этим репетитором ты быстро начинаешь разговаривать. Уроки индивидуальные по цене груп"
"Українці в Барселоні, Українці в Іспанії",2026-03-22 07:10,Юлія,,РЕПЕТИТОР,https://t.me/mibarcelona/40298,"🌟 РЕПЕТИТОР ХІМІЇ ОНЛАЙН 🔬  Хімія не повинна лякати! Я – кваліфікований спеціаліст з великим досвідом, і допомагаю зрозуміти навіть найскладніші теми легко і цікаво. Разом ми зробимо домашні завдання, підготуємося до контрольних, тестів і іспитів, а головне – навчимося мислити логічно та впевнено ро"
"Українці в Барселоні, Українці в Іспанії",2026-03-19 20:56,Edita Café Español Academy,,испанского,https://t.me/mibarcelona/40224,"🎁 Ответите правильно — получите скидку на курсы испанского, которые стартуют на следующей неделе 👀  Как думаете, какой у вас уровень испанского? 😄 Только честно, без гугла 😄  A) Начальный B) Базовый C) Средний D) Продвинутый  Напишите свой вариант 👇  Посмотрим, угадаете или нет 😉  Подробнее — пишите"
"Українці в Іспанії, Іспанія і українці, Українці в Севільї (Андалусія)",2026-03-19 13:02,Валерия шахматный тренер,chesscoachlera,учеников,https://t.me/espanolukraine/7578,"Здравствуйте, меня зовут Валерия. Провожу онлайн занятия по шахматам с учениками любого возраста и подготовки ♟♟🥇 Немного о себе: первый разряд по шахматам, опыт работы больше трех лет.  Среди учеников есть учасники национальных соревнований. По всем подробностям, пишите личным сообщениям❗️❗️"
"Українці в Іспанії, Іспанія і українці, Українці в Севільї (Андалусія)",2026-03-19 12:59,Марина,Marynaa065,репетитор,https://t.me/espanolukraine/7574,"Добрий день!  Хто шукає репетитора з англійської мови, можу допомогти. Для дітей перше заняття безкоштовне. Всі деталі в особисті."
"Українці в Іспанії, Іспанія і українці, Українці в Севільї (Андалусія)",2026-03-19 11:51,Anastasiya,anastasiakristova,испанского,https://t.me/espanolukraine/7568,📝РАБОТА: Автомойщик и Специалист по химчистке и полировке в Валенсии Мы обслуживаем премиум автомобили и ищем ответственных и трудолюбивых специалистов.  Требуются:  • 🚙 Автомойщик    Аккуратность и внимательность    Знание испанского на уровне А2+    Желание работать  • 🏎 Специалист по химчистке са
Малага - Марбелья - Испания,2026-03-25 09:40,Антоніна,garrrrl4,учеников,https://t.me/Malaga_Marbella_Spain/12490,Добрый день! Обучаю математике учеников 1–9 классов. Стараюсь объяснять учебный материал в игровой форме. Могу работать по учебникам других стран. Занятия возможны на украинском или русском языке.
Моя Валенсия | Испания,2026-03-21 14:03,,moyavalencia,испанский,https://t.me/moyavalencia/3690,"👋 Привет!  Меня зовут Максим. Я живу в Валенсии с 2023 года, инвестирую в испанский рынок недвижимости и помогаю с получением ипотеки, включая нестандартные ситуации:  — «сложные» источники дохода  — короткую историю доходов в Испании  — ограниченный первоначальный взнос  — отказы в банках  — горящи"
Всё о Валенсии. Дружеский чат без рекламы.,2026-03-22 09:35,Alexey Novgorodov,anovgorodov,испанского,https://t.me/valenciarusia/189099,"показывал выписку со счёта ИП РФ, чтобы видно что доход поступает регулярно, и дал выписку из испанского банка что сюда деньги также поступают регулярно"
Всё о Валенсии. Дружеский чат без рекламы.,2026-03-22 07:54,Aleksandr Sekin,aleksandr_astrakhan,испанский,https://t.me/valenciarusia/189094,А доход с РФ смотрели с российских банков(по выписке с приложения) или требуется показать поступление на счет испанский?
Всё о Валенсии. Дружеский чат без рекламы.,2026-03-18 21:17,Natalia,soyNatalia_R,испанский,https://t.me/valenciarusia/188991,"1. Abastos, она же Serrano Morales. https://share.google/UjtWxbXiGXSN98f2d  2. Universitat Popular- филиалы в разных районах, но испанский в 1- 2 из них. https://share.google/bUo2WkzTeTGOTLKQ7  3. Escuelas de los adultos в гугле- их много по районам, например,  Centro de Formación Innovación y Recur"
